time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
0.0,-0.5225766562210921,-0.19317421037618457,-0.17111957121312282,-0.005225766562210921,-0.0019317421037618457,-0.0017111957121312283
0.01,-0.5083947143065847,-0.18786980904894668,-0.16641524719976103,-0.010309713705276767,-0.0038104401942513125,-0.0033753481841288387
0.02,-0.4948953189788563,-0.1827899991310033,-0.16190740440695625,-0.015258666895065331,-0.005638340185561345,-0.004994422228198401
0.03,-0.4812194429034483,-0.1767529143811296,-0.15140411712028642,-0.020070861324099815,-0.007405869329372641,-0.0065084633994012655
0.04,-0.46870628371162254,-0.1720433527392619,-0.14735985346842642,-0.02475792416121604,-0.00912630285676526,-0.00798206193408553
0.05,-0.4566067797836616,-0.167482403246256,-0.1434421063632609,-0.029323991959052657,-0.010801126889227821,-0.00941648299771814
0.06,-0.4435940445988419,-0.16108272127722328,-0.12691281147095487,-0.033759932405041077,-0.012411954102000054,-0.010685611112427688
0.07,-0.43227467180309587,-0.15684644851614168,-0.12356342959099077,-0.03808267912307203,-0.01398041858716147,-0.011921245408337595
0.08,-0.42129698385342695,-0.15273514552530779,-0.1203117395627517,-0.0422956489616063,-0.015507770042414548,-0.013124362803965112
0.09,-0.41064436961314965,-0.1487434815246294,-0.11715381188485748,-0.046402092657737794,-0.01699520485766084,-0.014295900922813687
0.1,-0.3997233970813873,-0.1435547987755309,-0.06946452542061847,-0.05039932662855166,-0.018430752845416152,-0.014990546177019871
0.11,-0.3896927129201284,-0.13982244220633577,-0.06764877335266534,-0.054296253757752946,-0.01982897726747951,-0.015667033910546524
0.12,-0.37994656715669783,-0.13619539319897156,-0.06588270388807255,-0.058095719429319924,-0.021190931199469226,-0.01632586094942725
0.13,-0.36040533728958,-0.12767554220556632,0.003966640658786415,-0.061699772802215724,-0.022467686621524888,-0.016286194542839385
0.14,-0.3514457283937451,-0.12437699856495271,0.003863264889217753,-0.06521423008615318,-0.023711456607174414,-0.01624756189394721
0.15,-0.34273217337610296,-0.12116940437767808,0.0037625763777177496,-0.06864155181991421,-0.024923150650951194,-0.016209936130170032
0.16,-0.3342560288033539,-0.11804977801835968,0.0036645056113457364,-0.07198411210794775,-0.02610364843113479,-0.016173291074056576
0.17,-0.31154171081177173,-0.1093660324768377,0.027404784211237754,-0.07509952921606547,-0.02719730875590317,-0.0158992432319442
0.18,-0.30387217539067735,-0.10655887267515374,0.026690243735660275,-0.07813825096997225,-0.028262897482654706,-0.0156323407945876
0.19,-0.2964067356564704,-0.10382746776157331,0.025994001767501117,-0.08110231832653696,-0.02930117216027044,-0.015372400776912588
0.2,-0.27113935352576984,-0.09516475155725987,-0.005049544502198217,-0.08381371186179465,-0.030252819675843038,-0.01542289622193457
0.21,-0.26450299686871614,-0.09273145016416881,-0.00491773537383898,-0.08645874183048181,-0.031180134177484727,-0.01547207357567296
0.22,-0.25803983352425264,-0.09036297772490862,-0.004789378388850712,-0.08903914016572434,-0.032083763954733814,-0.015519967359561467
0.23,-0.21081770966596142,-0.07511053363801623,-0.02252003637164688,-0.09114731726238395,-0.032834869291113976,-0.015745167723277935
0.24,-0.2056817691758507,-0.07319593270264194,-0.02193243930575617,-0.09320413495414245,-0.03356682861814039,-0.015964492116335497
0.25,-0.20067710382548057,-0.0713316759261011,-0.021360399696770067,-0.09521090599239726,-0.03428014537740141,-0.016178096113303196
0.26,-0.16006584497652498,-0.05780773167345517,-0.020247170034375143,-0.0968115644421625,-0.03485822269413596,-0.016380567813646947
0.27,-0.15617974502837179,-0.056337601163577444,-0.01971947815174198,-0.09837336189244622,-0.03542159870577173,-0.01657776259516437
0.28,-0.15239140010553118,-0.054905734757710406,-0.019205716985625933,-0.09989727589350153,-0.035970656053348836,-0.01676981976502063
0.29,-0.1486981564380263,-0.053511084206540674,-0.01870550835349396,-0.1013842574578818,-0.036505766895414245,-0.01695687484855557
0.3,-0.1115928806853353,-0.04091146665922937,-0.007196759292781692,-0.10250018626473514,-0.036914881562006535,-0.017028842441483387
0.31,-0.10889261429273028,-0.03987338507000483,-0.007009423015810673,-0.10358911240766244,-0.037313615412706586,-0.017098936671641495
0.32,-0.10625928212870911,-0.03886206624853458,-0.006826985105588421,-0.10465170522894954,-0.03770223607519193,-0.01716720652269738
0.33,-0.053567762060708735,-0.020011426498729543,0.020909536239414828,-0.10518738284955663,-0.037902350340179226,-0.01695811116030323
0.34,-0.05227366316268767,-0.019504229424256836,0.020365311642025583,-0.1057101194811835,-0.038097392634421794,-0.016754458043882973
0.35000000000000003,-0.051011188480460934,-0.019009986804320866,0.019835066672228292,-0.10622023136598811,-0.038287492502465,-0.016556107377160692
0.36,-0.010266531868162676,-0.003918038733047122,0.039691023497001265,-0.10632289668466974,-0.03832667288979547,-0.01615919714219068
0.37,-0.010018692040044741,-0.0038187854363297136,0.03865671637853568,-0.10642308360507019,-0.03836486074415877,-0.015772629978405322
0.38,-0.009776848375557867,-0.003722050243600908,0.03764867307090011,-0.10652085208882577,-0.03840208124659478,-0.015396143247696321
0.39,-0.009540855169902884,-0.0036277690780065486,0.03666625196757978,-0.10661626064052479,-0.03843835893737484,-0.015029480728020524
0.4,0.023229438005582692,0.00910945755630553,0.0063987583079406565,-0.10638396626046896,-0.03834726436181179,-0.014965493144941116
0.41000000000000003,0.02266873514982015,0.00887871317393564,0.0062316090102088675,-0.10615727890897077,-0.03825847723007243,-0.014903177054839028
0.42,0.022121498909925985,0.008653793164649953,0.00606880715976222,-0.10593606391987151,-0.03817193929842593,-0.014842488983241406
0.43,0.06034384066446591,0.02482673624645404,-0.027169017880870054,-0.10533262551322685,-0.03792367193596139,-0.015114179162050106
0.44,0.058886606912904704,0.0241976504223516,-0.026459279763207694,-0.1047437594440978,-0.037681695431737876,-0.015378771959682184
0.45,0.05746410579859562,0.023584352175431852,-0.025768419856620504,-0.10416911838611186,-0.037445851909983556,-0.01563645615824839
0.46,0.05607552984843023,0.02298645236651807,-0.025095915095796666,-0.10360836308762755,-0.03721598738631837,-0.015887415309206357
0.47000000000000003,0.07964790313059084,0.033607798376964426,-0.054970330913099025,-0.10281188405632165,-0.036879909402548726,-0.016437118618337347
0.48,0.07772196550382598,0.03275533696512864,-0.053537373358924896,-0.10203466440128339,-0.03655235603289744,-0.016972492351926598
0.49,0.07584178768221755,0.03192421287118802,-0.05214307733722825,-0.10127624652446121,-0.036233113904185564,-0.01749392312529888
0.5,0.08912312905604158,0.03932584051479614,-0.07623910684143359,-0.1003850152339008,-0.0358398554990376,-0.018256314193713215
0.51,0.08696524867461553,0.03832729016000881,-0.07425746150566137,-0.09951536274715464,-0.03545658259743751,-0.018998888808769827
0.52,0.08485858446379269,0.03735369648570207,-0.07232966951861039,-0.09866677690251671,-0.03508304563258049,-0.019722185503955932
